2020-08-06 00:04:31,733 - INFO - train.py[:250] - iter: 205087, lr: 0.0001, epoch: 93.14, loss: 4.04, hm_loss: 2.36, box_loss: 0.59, lmdk_loss: 1.09567
2020-08-06 00:04:33,426 - INFO - train.py[:250] - iter: 205097, lr: 0.0001, epoch: 93.14, loss: 7.07, hm_loss: 4.16, box_loss: 0.92, lmdk_loss: 1.98525
2020-08-06 00:04:35,208 - INFO - train.py[:250] - iter: 205107, lr: 0.0001, epoch: 93.15, loss: 4.70, hm_loss: 2.42, box_loss: 1.45, lmdk_loss: 0.82360
2020-08-06 00:04:36,962 - INFO - train.py[:250] - iter: 205117, lr: 0.0001, epoch: 93.15, loss: 1.09, hm_loss: 0.16, box_loss: 0.52, lmdk_loss: 0.40565
2020-08-06 00:04:38,773 - INFO - train.py[:250] - iter: 205127, lr: 0.0001, epoch: 93.15, loss: 5.11, hm_loss: 3.08, box_loss: 0.81, lmdk_loss: 1.21648
2020-08-06 00:04:40,564 - INFO - train.py[:250] - iter: 205137, lr: 0.0001, epoch: 93.16, loss: 3.41, hm_loss: 1.11, box_loss: 0.83, lmdk_loss: 1.46374
2020-08-06 00:04:42,320 - INFO - train.py[:250] - iter: 205147, lr: 0.0001, epoch: 93.16, loss: 2.65, hm_loss: 1.52, box_loss: 0.68, lmdk_loss: 0.43955
2020-08-06 00:04:44,098 - INFO - train.py[:250] - iter: 205157, lr: 0.0001, epoch: 93.17, loss: 22.40, hm_loss: 1.46, box_loss: 1.97, lmdk_loss: 18.96743
2020-08-06 00:04:45,844 - INFO - train.py[:250] - iter: 205167, lr: 0.0001, epoch: 93.17, loss: 3.47, hm_loss: 1.51, box_loss: 0.81, lmdk_loss: 1.15428
2020-08-06 00:04:47,588 - INFO - train.py[:250] - iter: 205177, lr: 0.0001, epoch: 93.18, loss: 3.66, hm_loss: 1.77, box_loss: 0.79, lmdk_loss: 1.09528
2020-08-06 00:04:49,397 - INFO - train.py[:250] - iter: 205187, lr: 0.0001, epoch: 93.18, loss: 4.24, hm_loss: 2.63, box_loss: 0.93, lmdk_loss: 0.68076
2020-08-06 00:04:51,136 - INFO - train.py[:250] - iter: 205197, lr: 0.0001, epoch: 93.19, loss: 11.53, hm_loss: 4.01, box_loss: 1.76, lmdk_loss: 5.74828
2020-08-06 00:04:52,862 - INFO - train.py[:250] - iter: 205207, lr: 0.0001, epoch: 93.19, loss: 5.45, hm_loss: 2.81, box_loss: 0.81, lmdk_loss: 1.83314
2020-08-06 00:04:54,565 - INFO - train.py[:250] - iter: 205217, lr: 0.0001, epoch: 93.20, loss: 3.78, hm_loss: 2.10, box_loss: 0.59, lmdk_loss: 1.07905
2020-08-06 00:04:56,397 - INFO - train.py[:250] - iter: 205227, lr: 0.0001, epoch: 93.20, loss: 25.45, hm_loss: 3.86, box_loss: 1.38, lmdk_loss: 20.21065
2020-08-06 00:04:58,214 - INFO - train.py[:250] - iter: 205237, lr: 0.0001, epoch: 93.20, loss: 1.41, hm_loss: 0.18, box_loss: 0.53, lmdk_loss: 0.70181
2020-08-06 00:05:00,016 - INFO - train.py[:250] - iter: 205247, lr: 0.0001, epoch: 93.21, loss: 3.26, hm_loss: 1.53, box_loss: 0.64, lmdk_loss: 1.08448
2020-08-06 00:05:01,833 - INFO - train.py[:250] - iter: 205257, lr: 0.0001, epoch: 93.21, loss: 8.13, hm_loss: 3.35, box_loss: 0.92, lmdk_loss: 3.86724
2020-08-06 00:05:03,618 - INFO - train.py[:250] - iter: 205267, lr: 0.0001, epoch: 93.22, loss: 2.45, hm_loss: 0.82, box_loss: 0.57, lmdk_loss: 1.06050
2020-08-06 00:05:05,336 - INFO - train.py[:250] - iter: 205277, lr: 0.0001, epoch: 93.22, loss: 4.27, hm_loss: 1.88, box_loss: 1.07, lmdk_loss: 1.32067
